CreationDate,Id,LinkTypeId,PostId,RelatedPostId
2011-06-21T20:49:19.747,168,1,28,25
2011-06-21T22:55:01.307,1304,1,110,10
2011-06-22T11:58:39.763,2930,1,203,185
2011-06-22T12:32:01.393,2981,1,189,105
2011-06-22T20:56:20.637,3507,1,226,185
2011-06-23T10:39:22.087,3883,1,289,11
2011-06-23T10:39:47.537,3884,1,295,289
2011-06-24T04:24:42.880,4985,1,390,25
2011-06-24T12:27:15.503,5186,1,403,10
2011-06-24T19:42:05.577,5612,1,429,229
2011-06-25T03:13:37.060,5713,1,436,25
2011-06-25T11:33:16.440,6064,1,447,442
2011-06-27T11:19:10.757,6890,1,498,422
2011-06-28T23:34:05.190,8392,1,575,25
2011-06-28T23:35:14.740,8393,1,575,394
2011-06-29T03:22:35.157,8644,1,589,441
2011-06-29T13:48:53.127,9295,1,562,193
2011-06-29T14:57:28.923,9396,1,638,349
2011-06-29T21:35:07.153,9672,1,688,426
2011-06-30T16:14:51.400,10273,1,720,457
2011-07-02T14:23:14.177,11074,1,763,755
2011-07-05T08:14:57.447,11800,1,755,763
2011-07-06T16:38:53.423,12401,1,835,484
2011-07-07T03:57:28.560,12502,1,833,730
2011-07-10T19:07:47.063,13853,1,910,780
2011-07-10T19:07:47.063,13854,1,910,886
2011-07-11T16:07:06.300,14180,1,938,766
2011-07-11T16:07:06.300,14181,1,938,11
2011-07-11T16:07:50.813,14207,1,766,938
2011-07-12T02:55:15.487,14483,1,944,730
2011-07-12T20:48:28.817,15035,1,973,877
2011-07-13T06:59:49.333,15161,1,166,167
2011-07-15T09:19:35.790,16087,1,1002,10
2011-07-16T11:20:48.847,16463,1,1006,448
2011-07-18T07:52:49.597,17039,1,1060,529
2011-07-18T09:38:17.663,17315,1,1064,1063
2011-07-18T09:38:57.063,17341,1,1063,1064
2011-07-18T10:31:27.080,17417,1,1063,289
2011-07-18T10:31:39.450,17418,1,1064,289
2011-07-18T12:15:18.933,17419,1,1000,394
2011-07-21T08:37:46.843,18570,1,1153,1011
2011-07-25T15:03:18.390,20571,1,1237,441
2011-07-26T08:47:57.163,21122,1,1251,100
2011-07-27T16:11:54.930,22073,1,1282,1104
2011-07-29T11:09:33.090,22924,1,1303,1245
2011-07-29T20:19:22.070,23200,1,1309,34
2011-07-29T20:29:23.760,23226,1,1309,203
2011-07-31T13:15:28.267,24352,1,1328,823
2011-08-01T11:56:25.143,25378,1,447,295
2011-08-01T21:37:47.623,25679,1,1378,25
2011-08-02T19:05:13.530,26280,1,1379,429
2011-08-04T19:14:27.703,27081,1,1422,422
2011-08-04T19:16:28.677,27082,1,1422,1411
2011-08-05T05:35:42.007,27208,1,1423,10
2011-08-05T06:16:48.950,27234,1,1423,1011
2011-08-08T00:21:56.897,28785,1,1453,1310
2011-08-08T06:19:38.653,28861,1,1475,25
2011-08-08T18:18:54.873,29237,1,1483,250
2011-08-10T11:25:20.973,30038,1,1504,1497
2011-08-16T09:29:59.377,33689,1,1565,122
2011-08-16T16:03:05.613,33715,1,1573,9
2011-08-23T00:10:00.030,36091,1,1651,1023
2011-08-25T12:47:35.603,38067,1,1709,921
2011-08-25T12:59:58.320,38118,1,1709,295
2011-08-25T13:25:55.313,38194,1,1712,1709
2011-08-26T14:08:26.170,39420,1,1777,501
2011-08-29T13:59:48.493,40621,1,1827,248
2011-08-29T18:58:44.940,40722,1,1468,1589
2011-08-30T09:06:27.757,41123,1,1836,1833
2011-08-30T11:17:07.590,41174,1,1836,1304
2011-08-31T08:39:41.020,41675,1,1856,1340
